Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-265.4	33.84435	-232.0	-330.0	1000.0	0.29466605	0.60903335	2.3611019	-0.6173595	5000	3.2434463e-07	627.9573	-0.016496323	-490.30334	1.088	0.018020617	0.1728	4.0	3.384814977645874
1	231.0	588.7636	999.0	-327.0	605.5714	-14.175456	0.27315834	-12.146954	-14.343693	10000	-1.1634826e-08	7863.0264	-0.004311752	-895.0552	1.0775678	0.01529402	0.2424	8.0	6.10044002532959
2	100.833336	559.07825	939.0	-330.0	695.8333	-15.2615	7.5649185	16.000582	-17.814821	15000	-1.411438e-08	11670.272	-0.004367744	-492.1045	1.0834489	0.017653812	0.0928	12.0	8.74467396736145
3	-58.2	528.7341	999.0	-337.0	800.2	-24.925512	0.3030884	-7.616537	-24.978374	20000	4.577637e-09	246.97067	-0.0045179334	-21.931946	1.2201077	0.015306736	0.2102	16.0	11.197176933288574
4	-108.4	533.95795	924.0	-627.0	812.8	-25.963993	6.104698	26.716904	-26.963701	25000	1.01089475e-08	5941.8066	-0.005841636	-120.54443	1.18374	0.017842287	0.1426	17.0	13.700012922286987
5	-327.8	155.2487	-185.0	-626.0	1000.0	-30.024382	5.690968	21.960888	-30.9962	30000	2.9563905e-09	233.22784	-0.0076129013	-43.793976	1.0843711	0.019479008	0.358	6.0	16.224894762039185
6	5.8	491.59186	976.0	-330.0	803.6	-30.333662	1.9167833	-2.7362697	-31.7569	35000	-4.2915342e-09	3003.9922	-0.008262254	-328.44653	1.0585632	0.014914801	0.1754	44.0	19.069552898406982
7	-21.6	405.6139	771.0	-320.0	836.2	-24.68616	11.030468	31.485533	-31.844782	40000	5.912781e-09	5583.292	-0.0053684497	-396.72314	1.0180618	0.015744733	0.1476	37.0	21.704622983932495
8	-264.0	102.23894	-141.0	-365.0	1000.0	-21.71376	11.830497	23.569965	-31.142698	45000	-1.6403199e-08	82.308784	-0.008022309	-74.107704	1.1110426	0.019053131	0.2342	5.0	24.179165840148926
9	-304.6	35.511127	-237.0	-335.0	1000.0	-19.672554	24.447378	36.79188	-34.991413	50000	3.9100647e-09	670.2338	-0.009763858	-632.951	1.273772	0.017791733	0.2652	11.0	26.69683289527893
10	-160.2	87.33934	-55.0	-318.0	1000.0	-21.073189	7.187695	8.549665	-33.157337	55000	-3.1471252e-08	65.65506	-0.005357429	-47.00425	0.8030977	0.014552207	0.1822	6.0	29.591709852218628
11	194.16667	500.09113	997.0	-238.0	695.8333	-15.533049	6.9377174	13.502991	-31.49662	60000	-6.4849854e-09	6762.341	-0.007896792	-1227.8354	0.9069367	0.010014367	0.0536	79.0	32.506839990615845
12	39.8	481.04196	997.0	-267.0	800.6	-21.19306	6.711674	35.56496	-34.99064	65000	-3.8146974e-09	612.34515	-0.0058335518	-67.7616	1.022983	0.0142590655	0.167	33.0	35.25003695487976
