Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	-2738.1055	1633.7207	48.684956	-5568.095	5000	-2.0742417e-09	8234723.5	-0.0026155314	-7735750.0	0.0010018067	0.0060580606	0.0046	14.0	4.07220721244812
1	0.0	0.0	0.0	0.0	1000.0	-1006.4753	196.55324	-666.1026	-1346.8474	10000	2.682686e-07	877235.5	0.0	-831436.2	0.0	0.0	0.0	79.0	8.013344049453735
2	0.0	0.0	0.0	0.0	1000.0	-177.42715	21.152624	-140.79767	-214.05609	15000	-3.118515e-08	26840.025	0.0	-25489.574	0.0	0.0	0.0	79.0	12.087642192840576
3	0.0	0.0	0.0	0.0	1000.0	-23.125309	2.3035975	-19.135963	-27.11332	20000	-8.354187e-08	454.95224	0.0	-426.33252	0.0	0.0	0.0	79.0	16.070230722427368
4	0.0	0.0	0.0	0.0	1000.0	-1.1335727	0.36798266	-0.4940526	-1.776096	25000	-3.7384034e-08	1.1707367	0.0	-0.58505756	0.0	0.0	0.0	79.0	20.1338632106781
5	0.0	0.0	0.0	0.0	1000.0	-1.9906089	0.3464695	-1.386433	-2.594685	30000	-3.089905e-08	3.4154282	0.0	8207.7705	0.0	0.0	0.0	79.0	24.732425689697266
6	0.0	0.0	0.0	0.0	1000.0	-108.05809	5.0133843	-99.37728	-116.74471	35000	6.170273e-07	9912.602	0.0	-6571.299	0.0	0.0	0.0	79.0	29.263811826705933
7	0.0	0.0	0.0	0.0	1000.0	-75.1342	3.0694034	-69.81498	-80.44877	40000	2.3269654e-07	4792.971	0.0	-4565.4824	0.0	0.0	0.0	79.0	33.68785285949707
8	0.0	0.0	0.0	0.0	1000.0	-9.295732	0.4678165	-8.478167	-10.111345	45000	-6.2217714e-07	73.36506	0.0	-69.899445	0.0	0.0	0.0	79.0	37.90064716339111
9	0.0	0.0	0.0	0.0	1000.0	-1.6438875	0.18542163	-1.3154442	-1.9754784	50000	-1.8119812e-09	2.3050535	0.0	4141.2026	0.0	0.0	0.0	79.0	41.876227140426636
10	0.0	0.0	0.0	0.0	1000.0	70.48316	1.8203721	73.646385	67.32485	55000	5.8612824e-07	4220.238	0.0	-4017.1487	0.0	0.0	0.0	79.0	46.36026120185852
11	0.0	0.0	0.0	0.0	1000.0	5.2476954	0.024627116	5.3109393	5.192043	60000	6.530762e-07	23.441963	0.0	-21.96695	0.0	0.0	0.0	79.0	49.90069270133972
12	0.0	0.0	0.0	0.0	1000.0	-0.44076723	0.11006289	-0.23740274	-0.647559	65000	-8.468628e-08	0.17184149	0.0	50108.617	0.0	0.0	0.0	79.0	53.95180034637451
13	0.0	0.0	0.0	0.0	1000.0	241.48895	5.122091	250.36229	232.61205	70000	-3.452301e-07	49554.258	0.0	-47223.62	0.0	0.0	0.0	79.0	58.321901082992554
14	0.0	0.0	0.0	0.0	1000.0	27.080435	0.49527606	27.949682	26.206518	75000	4.0359498e-07	623.2525	0.0	-593.60114	0.0	0.0	0.0	79.0	62.30067801475525
